dzr_sng_id,valence,arousal,artist_name,track_name,sp_track_id,sp_acousticness,sp_danceability,sp_duration_ms,sp_energy,sp_instrumentalness,sp_key,sp_liveness,sp_loudness,sp_mode,sp_speechiness,sp_tempo,sp_time_sig,sp_valence
534752,-0.568660732678,-0.049222622737999995,Mario Vazquez,Gallery,7yVJlhAZlZ4O1jlJCkMXD6,0.0169,0.593,223613,0.651,0.0,9,0.141,-6.904,0,0.135,86.535,4,0.323
535166,-1.22030107381,0.644019875414,Prefab Sprout,Bonny,2KjDxwXrorZYLUillUkmCu,0.136,0.71,226667,0.687,9.16e-05,3,0.106,-8.199,1,0.0316,131.747,4,0.661
535168,-1.26805528641,-0.0128089542846,Prefab Sprout,When Love Breaks Down,0yx5Hqp7XOG8diGKYbFdPc,0.329,0.476,245653,0.607,5.03e-06,1,0.0347,-7.46,1,0.0505,133.415,4,0.342
535298,0.37332522108000005,-0.9231506656209999,Toni Braxton,You're Makin' Me High,5bJ796cOnGBzSN5bm4mwMj,0.0117,0.852,267440,0.563,1.96e-05,10,0.119,-8.663,0,0.0377,92.112,4,0.893
535299,0.24916426831099997,-0.280149811285,Toni Braxton,Breathe Again,1xFliXOpcu7E89AsDAZ7JV,0.0704,0.689,269173,0.677,0.0,0,0.0877,-6.36,1,0.0326,153.919,4,0.259
535419,0.909991610338,0.48115705448,Collie Buddz,Blind To You,1HvqYpA3BpQcc8KJjAyxJl,0.0295,0.683,227733,0.872,0.0,9,0.0401,-4.363,1,0.392,155.656,4,0.716
535901,-1.9352498567900003,-0.655809808621,Paul Potts,Caruso,6R1HVpqbxUp7yQVWdbfygN,0.875,0.25,230413,0.452,0.0,3,0.235,-5.866,0,0.0358,87.099,3,0.127
536481,0.957291020918,0.390506993776,MGMT,Time To Pretend,4iG2gAwKXsOcijVaVXzRPW,8.74e-05,0.438,261000,0.94,0.0777,2,0.3,-3.249,1,0.0452,100.99,3,0.421
536483,0.41698621546099995,0.109338161414,MGMT,The Youth,5nv854ey1k43KaZ0kHmE4Z,0.122,0.485,228013,0.799,0.0054,5,0.33,-5.886,1,0.029,111.012,3,0.468
536484,0.957291020918,0.390506993776,MGMT,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.0714,0.763,229640,0.807,0.28,1,0.348,-3.714,1,0.035,103.038,3,0.559
536486,0.815392789182,0.662457175897,MGMT,4th Dimensional Transition,5qdCsd05UUdtAsAtET9gxV,0.042,0.381,238013,0.939,0.918,9,0.172,-4.684,1,0.125,159.97,4,0.335
536488,0.815392789182,0.662457175897,MGMT,Of Moons_ Birds & Monsters,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
536489,0.37332522108000005,-0.9231506656209999,MGMT,The Handshake,7d4coyGabEbHZ5tRpTbQT5,0.27,0.565,219627,0.763,0.0087,11,0.299,-7.043,0,0.0584,139.995,4,0.283
536490,0.815392789182,0.662457175897,MGMT,Future Reflections,0USruADoPffR0n8VHcRJ3r,0.0832,0.512,240253,0.978,0.0445,5,0.37,-4.02,1,0.0963,140.022,4,0.494
537540,0.37332522108000005,-0.9231506656209999,Donovan,Season Of The Witch,6MOEQCtAWNSCmvg3SFKF5y,0.159,0.516,293933,0.513,0.00957,2,0.0612,-10.762,1,0.0288,99.735,4,0.694
538323,1.0719011311700002,0.8468301807240001,Annie Lennox,Through The Glass Darkly,1hREwctoG0qVPSS4y559bB,0.486,0.59,209560,0.47,3.1e-05,0,0.0798,-11.809,0,0.0422,137.803,4,0.365
538324,-1.04019947199,-0.06581619317250001,Annie Lennox,Lost,3VaxfSoqyYV18RAN9TslPs,0.879,0.326,221840,0.14,3.56e-06,7,0.15,-13.827,1,0.038,111.759,3,0.151
538328,-1.05657234488,0.736206377828,Annie Lennox,Fingernail Moon,0aV7RXw3UPfSD29cPkIfeW,0.63,0.394,304013,0.306,3.11e-06,7,0.119,-13.514,1,0.0296,133.738,3,0.0732
538606,-1.04019947199,-0.06581619317250001,The Calling,Somebody Out There,58xp1F08LxQn6hvHS4TIrI,0.00622,0.395,247027,0.825,0.0,8,0.136,-5.935,0,0.0372,177.469,4,0.378
538948,1.5412568207600001,1.70416465317,Boys Like Girls,The Great Escape,6GIrIt2M39wEGwjCQjGChX,0.00166,0.423,206520,0.94,0.0,1,0.178,-4.012,0,0.0635,149.934,4,0.505
538950,1.14285024704,1.07115066993,Boys Like Girls,Five Minutes To Midnight,7DYWvQ1RS986e59CXJJGxx,0.00779,0.463,227360,0.901,0.0,2,0.32,-4.073,1,0.087,163.966,4,0.621
538951,1.5412568207600001,1.70416465317,Boys Like Girls,Hero/Heroine,1AnesEZjtNHT7Nr2Y4BuNR,0.02,0.422,232240,0.904,4.49e-06,0,0.686,-4.531,1,0.102,163.929,4,0.32
538961,-1.31853831116,0.9574539836210001,Boys Like Girls,Heels Over Head,4ovyfCWkk5QZhFUEj3FOQA,0.0674,0.54,188440,0.913,0.0,8,0.101,-4.176,1,0.233,160.168,4,0.632
539107,0.5943590051309999,-0.13034674486199999,Groove Armada,Song 4 Mutya (Out Of Control),1TqSckVfkPVo2CWDcEvvT2,0.000327,0.669,219000,0.862,1.52e-05,0,0.108,-3.293,1,0.0858,120.066,4,0.847
539211,0.032223702483,-0.512920729879,Duran Duran,Nite-Runner,1BkFDpNwHJpYyOZnWPTkDD,0.000559,0.779,236667,0.576,0.00316,6,0.0473,-7.191,1,0.0515,109.953,4,0.678
540175,1.1783248049700001,1.18331091453,Britney Spears,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,0.202,0.759,211067,0.699,0.000131,0,0.443,-5.745,0,0.0307,92.96,4,0.907
540177,1.0719011311700002,0.8468301807240001,Britney Spears,Sometimes,1UI0l2L66HJ9AtoEOlHzv4,0.42,0.745,245067,0.742,0.0,10,0.102,-5.693,1,0.0259,95.996,4,0.806
540178,1.03642657323,0.874486131448,Britney Spears,Soda Pop,6039GmVngyHmWfOuWOhjCK,0.0819,0.714,200467,0.852,0.0,8,0.285,-6.57,1,0.0565,92.016,4,0.919
540180,-0.869193910665,0.5088130052040001,Britney Spears,Heart,1u2OZ42pGR7gfhWHb2yc0S,0.23,0.583,180880,0.457,0.0,8,0.0991,-9.855,1,0.0257,78.972,4,0.429
540181,1.30657897596,1.27549741695,Britney Spears,I Will Be There,2I320CTP7hYFTtiFo1H6CD,0.165,0.659,233600,0.866,3.65e-05,8,0.0988,-5.789,1,0.0351,100.997,4,0.765
540182,0.722613176124,-0.0381602424484,Britney Spears duet with Don Phillip,I Will Still Love You,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
540185,-1.08058589179,0.08536967078610001,Britney Spears,E-Mail My Heart,5FieJVbVreVaZdgoQiw9Yh,0.268,0.6,223067,0.636,0.0,0,0.177,-7.262,1,0.0244,142.015,4,0.51
540186,1.5412568207600001,1.70416465317,Britney Spears,The Beat Goes On,4l3zi35EzEv8L7xLZ9jEcJ,0.097,0.772,223200,0.548,0.221,10,0.103,-9.352,1,0.164,154.871,4,0.648
540191,0.815392789182,0.662457175897,Britney Spears,I'm A Slave 4 U,6ldwfK0yWgTAlmIfuQkTYN,0.415,0.847,203600,0.843,0.000134,5,0.107,-3.579,0,0.106,110.027,4,0.963
540193,0.815392789182,0.662457175897,Britney Spears,Lonely,6hlpPqTRqUZI2B4TCOycDf,0.051,0.703,199373,0.953,0.0054,7,0.0717,-0.674,1,0.256,194.035,4,0.845
540196,1.30112135166,1.4952085810299998,Britney Spears,Anticipating,6dKYAtGciLRm8uOD1LiSVf,0.0136,0.717,196107,0.877,0.000814,0,0.0616,-4.266,1,0.0375,111.0,4,0.794
540203,-1.16572483083,-0.128042082302,Britney Spears,I Run Away,7zs5aog6tlIeniHcnoB0HJ,0.00616,0.604,244067,0.851,0.000366,0,0.0511,-4.78,0,0.0274,144.015,4,0.649
540588,0.8290368499259999,-0.946197291224,Blood_ Sweat & Tears,God Bless The Child,3RN7Bw1U61nzMbTvwibb8Q,0.509,0.44,353760,0.417,0.00023,0,0.33,-10.538,1,0.044,111.527,4,0.5
540732,1.28474847877,1.4368237961700001,Willie Nelson,On The Road Again,1OmKo4t4Bh95xQI6WGiUR3,0.55,0.714,153107,0.724,0.101,4,0.826,-8.488,1,0.042,111.173,4,0.802
541012,-1.68829235732,1.07960109932,Three Days Grace,I Hate Everything About You,6rUp7v3l8yC4TKxAAR5Bmx,0.00461,0.498,231480,0.83,0.0,6,0.139,-5.157,0,0.0421,89.342,4,0.453
541013,-1.70057201199,1.84244440679,Three Days Grace,Home,6GVryHJpjnrnrsTggoNTpe,2.64e-05,0.366,260680,0.847,0.0,8,0.228,-5.216,1,0.035,166.17,4,0.606
541016,-1.58596190174,0.62097324981,Three Days Grace,Let You Down,4gQ683QJzGz1Y4Lmml68c4,0.000161,0.492,224520,0.831,0.0,0,0.118,-4.215,1,0.0693,170.088,3,0.367
541020,-1.70057201199,1.84244440679,Three Days Grace,Born Like This,1leooQqy7cYyfJILuQTU6o,0.00249,0.432,212387,0.815,0.0,7,0.331,-5.847,1,0.0553,159.979,4,0.374
541025,-1.6569110176100001,0.104728836293,Three Days Grace,Take Me Under,2RVcyT3JWK6TKw8ecENFsG,0.00103,0.48,258533,0.692,0.0,5,0.41,-5.739,0,0.0271,149.856,4,0.351
541101,0.815392789182,0.662457175897,Switchfoot,Redemption,2HwxnO2LsI6HL5TKl4BtVD,0.0383,0.413,188520,0.938,0.0,4,0.14,-5.792,1,0.0554,163.219,4,0.769
541393,1.17668751768,0.975891284103,Electric Light Orchestra,Mr Blue Sky,2RlgNHKcydI9sayD2Df2xp,0.652,0.388,303373,0.338,3.72e-06,10,0.248,-10.054,1,0.0328,177.784,4,0.477
541403,0.815392789182,0.662457175897,Kelly Rowland,Work,1foEfzZaWdicH22pCxx52P,0.0521,0.754,191027,0.86,0.000945,3,0.372,-6.73,0,0.0382,102.808,4,0.848
541855,1.2137993629000001,1.26781520842,Dolly Parton,9 To 5,4w3tQBXhn5345eUXDGBWZG,0.416,0.554,162467,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813
541959,1.1783248049700001,1.18331091453,Mandy Moore,Drop The Pilot,1Fe3yJ9Zj0WltAlSB8Gb2X,0.319,0.53,223240,0.892,0.0,1,0.0879,-3.322,1,0.0478,128.224,4,0.792
541961,0.9845791424060001,-0.010504291724200003,Mandy Moore,One Way Or Another,4CFMvStTs8y3iW1uwav7Ka,0.00285,0.436,210507,0.911,0.0,5,0.65,-3.658,1,0.246,162.376,4,0.54
541962,-1.9352498567900003,-0.655809808621,Mandy Moore,Breaking Us In Two,4R0zZ4GoVZCHiuz3qzhRNL,0.369,0.53,266667,0.809,0.0,8,0.17,-4.895,0,0.0367,108.324,4,0.47
544934,-1.83974143158,0.339804417448,Luther Vandross,Don't Want To Be A Fool,2rgMQNOF91LdmJClQAgqW9,0.482,0.632,275133,0.576,0.0,7,0.151,-8.345,1,0.0234,95.321,4,0.323
545245,-0.960154315621,-0.20716883020399998,Lemar,If there's Any Justice,3vZfy3cXEYojq7BvSt87Of,0.0128,0.706,229080,0.665,0.0,6,0.338,-5.348,0,0.0453,89.993,4,0.639
545253,0.37332522108000005,-0.9231506656209999,Lemar,I Believe In A Thing Called Love,3KSeNH0kyea3wP7iN1XHLl,0.844,0.558,216627,0.357,2.06e-06,7,0.1,-11.446,0,0.0351,129.508,4,0.704
545493,0.909991610338,0.48115705448,Jamiroquai with Beverley Knight,Love Foolosophy,0upgxxew2mVAEctrz08jnf,0.0119,0.799,224493,0.69,2.87e-05,11,0.133,-4.998,0,0.0749,129.297,4,0.896
546089,0.526138701412,-1.62837740909,Clannad,Theme From Harry's Game,4xOA16KicwjRnlLjmNCYGk,0.948,0.19,148133,0.0715,0.00447,1,0.105,-24.049,0,0.0372,131.56,3,0.0379
546090,-0.517359064281,-0.012348021772499999,Clannad,"I Will Find You (Theme From ""The Last Of The Mohicans"")",1k5qe5XjwPgFwZiVFWdfNF,0.901,0.257,315933,0.284,0.037,9,0.0981,-18.761,1,0.0332,180.28,4,0.141
546130,-1.07203561372,0.181550921635,Kelly Clarkson,Because Of You,3f3omU8n47Mqyab5nCaGyT,0.254,0.583,219493,0.584,0.0,5,0.123,-5.362,0,0.0314,140.039,4,0.136
546371,-0.780962317853,-0.789480237121,The Coral,Careless Hands,7kU7OYAm6CSd0XBgcsgsxn,0.259,0.286,253587,0.717,0.0176,9,0.103,-7.141,0,0.0424,75.67,4,0.458
546575,-1.29452476425,0.243930454938,System of a Down,Soldier Side,1ez4uWPnJwYufNhYTLVsJr,0.264,0.287,220267,0.818,2.42e-06,1,0.12,-1.691,0,0.0384,153.004,4,0.174
546576,1.5412568207600001,1.70416465317,System of a Down,Stealing Society,0ELxqqeeisigIJhN6dsNHI,0.000678,0.271,178000,0.983,0.0,2,0.19,-2.513,1,0.0617,93.284,4,0.547
546578,-1.2834535835299998,-0.18697559634599997,System of a Down,Lonely Day,1VNWaY3uNfoeWqb5U8x2QX,0.362,0.47,167907,0.796,1.11e-06,8,0.133,-3.277,0,0.0336,113.108,3,0.215
546790,0.0158508295903,0.390506993776,Air Supply,All Out Of Love,7dQC53NiYOY9gKg3Qsu2Bs,0.313,0.512,243000,0.262,5.51e-06,0,0.456,-16.875,1,0.0276,108.381,4,0.357
546826,0.37332522108000005,-0.9231506656209999,DJ Jazzy Jeff & The Fresh Prince,Summertime,20XdEFyaUR9C7aDIdq2OAd,0.0455,0.677,270973,0.54,1.84e-06,7,0.845,-14.439,1,0.0627,95.116,4,0.469
546926,1.5467144450499999,2.11900391403,Anti-Flag,Emigre,1fekG5gWHOUWRg07FCQjsU,0.0143,0.652,179960,0.934,0.000192,1,0.0996,-4.13,1,0.0479,116.662,4,0.682
546931,1.5467144450499999,2.11900391403,Anti-Flag,State Funeral,2HiDCke2OSkWV5lztauc6B,0.0005,0.415,121867,0.982,0.00288,3,0.344,-4.719,0,0.149,98.129,4,0.35
546934,1.5467144450499999,2.11900391403,Anti-Flag,The W.T.O. Kills Farmers,4NeWVQkUDrgghF1wcbuLJH,0.0278,0.403,212693,0.96,4.82e-05,10,0.258,-3.143,0,0.138,153.465,4,0.639
546935,1.5467144450499999,2.11900391403,Anti-Flag,Cities Burn,0AFfQjHt7HdHZpxwh7jEBV,0.000128,0.477,182173,0.927,0.00393,11,0.0799,-3.843,1,0.145,95.42,4,0.636
547229,0.37332522108000005,-0.9231506656209999,Citizen Cope,Bullet And A Target,3r7gP3kGBkldTrOO6ebMGy,0.335,0.732,263400,0.835,2.43e-06,5,0.0354,-3.279,0,0.0819,80.696,4,0.892
547230,0.815392789182,0.662457175897,Citizen Cope,Hurricane Waters,7mDtfjVulf0SyDXlu3ie4J,0.344,0.668,266827,0.908,0.00308,7,0.0332,-4.197,1,0.0396,102.001,4,0.784
547392,-1.9352498567900003,-0.655809808621,Harry Nilsson,Spaceman,69O3FLsnM3zi5czOZGL70B,0.161,0.563,214173,0.697,0.0,10,0.0995,-10.383,1,0.0518,81.271,4,0.607
547513,-1.4959111008300001,0.0401982846033,Pearl Jam,Gone,5JSfrkLVMTNcr4qC3jPTup,0.166,0.28,247920,0.65,0.0,2,0.101,-5.543,1,0.0319,109.857,4,0.173
547517,0.449731961246,-2.0754819457900004,Pearl Jam,Inside Job,73XSeP4sfxvHBl7eNsOHtj,0.329,0.283,428560,0.487,0.0101,4,0.205,-7.979,0,0.0397,109.685,4,0.0739
547878,0.815392789182,0.662457175897,Jim Reeves,Snowflake,08pPi6LzhE6y7Tjxc5CUnT,0.833,0.555,130093,0.375,2.45e-05,11,0.112,-13.184,1,0.0287,82.001,4,0.936
548195,0.815392789182,0.662457175897,The Zutons,It's The Little Things We Do,1z6kvcqr50qwqk7RXmGtMd,0.0195,0.546,187013,0.879,0.0,0,0.262,-3.197,1,0.0403,97.274,4,0.912
548196,1.5412568207600001,1.70416465317,The Zutons,Valerie,5wswaHYtytE9CZFncBwWPF,0.019,0.342,236267,0.873,2.2e-05,5,0.164,-3.152,0,0.0414,168.74,4,0.85
548202,0.815392789182,0.662457175897,The Zutons,You've Got A Friend In Me,6vEns0Nynat9K2NDUJ8g3D,0.135,0.7,237907,0.77,0.0,6,0.0833,-3.927,0,0.0258,118.061,4,0.932
548274,-0.63451606587,0.041734726313300004,Shayne Ward,That's My Goal,1uSLKz4nqNBrjq4APeUbvJ,0.889,0.56,224341,0.218,0.0,2,0.0946,-9.842,1,0.0301,102.386,3,0.504
548275,-0.090572844212,0.45734220802599995,Shayne Ward,No Promises,1dN8aTzgrLequh5j58spKA,0.945,0.368,210280,0.216,2.22e-06,4,0.126,-10.392,1,0.0304,77.51,4,0.328
548276,0.0158508295903,0.390506993776,Shayne Ward,Stand By Me,1hPY29XvmgOf0OzZPkVetS,0.229,0.45,260636,0.233,0.0139,8,0.195,-11.698,1,0.0283,82.43,3,0.0399
548277,0.0158508295903,0.390506993776,Shayne Ward,All My Life,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
548283,1.0719011311700002,0.8468301807240001,Shayne Ward,Something Worth Living For,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
548284,-0.431674362809,0.0955101860516,Shayne Ward,A Better Man,NO TRACK FOUND ON SPOTIFY,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
548586,1.2574603572799998,1.086515087,Matthew Sweet,Girlfriend,338gPBomyqx33wfeF1AGOd,0.00901,0.529,219800,0.714,6.26e-06,6,0.0772,-6.315,1,0.031,120.598,4,0.814
548598,-1.10569096356,0.6855038015,Matthew Sweet,Nothing Lasts,0UJWsx0VWPBWq0giPXzNBO,0.877,0.446,213600,0.0591,1.09e-05,0,0.114,-20.139,1,0.0361,84.269,4,0.137
548641,0.37332522108000005,-0.9231506656209999,Imogen Heap,Headlock,7vTENp2sLS3sPY5z4npYNr,0.8,0.805,215481,0.371,0.0,7,0.12,-10.721,0,0.0352,119.974,4,0.808
548642,0.262808329055,0.24300858991399998,Imogen Heap,Goodnight and Go,0vfWzo75MKGYiQSiT5jEzt,0.35,0.609,232571,0.651,2.51e-05,1,0.0794,-9.703,1,0.0302,109.981,4,0.505
548645,-0.358678637829,-0.701903059828,Imogen Heap,Hide & Seek,5kQIcnT4bdUeJOpSR9B5dZ,0.00117,0.61,446533,0.635,0.626,6,0.102,-6.945,0,0.0688,130.208,4,0.465
